Input,Category,Description,Choices,Default Value,Ref
timetype,Temporal / solve structure,Sequential or Intertemporal,seq; int; win,seq,
ignore,Run setup / execution,"0=run this case, 1=ignore this case",0; 1,0,
AWS,Run setup / execution,Switch for when running on AWS,0; 1,0,
yearset,Temporal / solve structure,"_-delimited list of years to model OR bash-formatted year ranges (start..end..step). For example, 2010_2015_2020..2035..3_2040..2050..5 means: 2010, 2015, then 2020 through 2035 in 3-year steps, then 2040 through 2050 in 5-year steps. startyear will be prepended if it is not included. Truncated at endyear.",N/A,2010_2015_2020..2050..3,
startyear,Temporal / solve structure,First year to be modeled,N/A,2010,
endyear,Temporal / solve structure,Last year to be modeled,N/A,2050,
windows_suffix,Temporal / solve structure,Set of windows that are modeled,default; step5; step10; 2100,default,
solver,Run setup / execution,Solver for GAMS to use,CPLEX; gurobi,CPLEX,
distpvscen,Demand / load / flexibility,Setting for distpv scenario (see inputs\dgen_model_inputs),N/A,stscen2023_mid_case,
calc_csp_cc,Resource adequacy / PRM / PRAS,Switch to turn on CSP capacity credit calculations,0; 1,0,
plantchar_battery,Technology costs / performance,Battery cost and performance inputs (inputs\plant_characteristics\{plantchar_battery}.csv). The options for plantchar_battery start with 'battery_' and the switch should be set to the entire file name (ex: battery_ATB_2024_advanced),battery_ATB_(2023|2024)_(conservative|moderate|advanced),battery_ATB_2024_moderate,
plantchar_beccs,Technology costs / performance,BECCS cost and performance inputs (inputs\plant_characteristics\{plantchar_beccs}.csv) The options for plantchar_beccs start with 'beccs_' and the switch should be set to the entire file name (ex: beccs_reference),(beccs_BVRE_2021_(high|mid|low)|beccs_(reference|lowcost)),beccs_reference,
plantchar_biopower,Technology costs / performance,Biopower generators cost and performance characteristics (inputs\plant_characteristics\{plantchar_biopower}.csv). Options start with 'biopower_' and the switch should be set to the entire file name (ex: biopower_ATB_2024_moderate),biopower_ATB_(2024)_(moderate),biopower_ATB_2024_moderate,
plantchar_coal_ccs,Technology costs / performance,Coal CCS generators cost and performance characteristics (inputs\plant_characteristics\{plantchar_coal_ccs}.csv). Options start with 'coal-ccs_' and the switch should be set to the entire file name (ex: coal-ccs_ATB_2024_moderate),coal-ccs_ATB_(2024)_(conservative|moderate|advanced),coal-ccs_ATB_2024_moderate,
plantchar_coal,Technology costs / performance,Coal generators cost and performance characteristics (inputs\plant_characteristics\{plantchar_coal}.csv). Options start with 'coal_' and the switch should be set to the entire file name (ex: coal_ATB_2024_moderate),coal_ATB_(2024)_(moderate),coal_ATB_2024_moderate,
plantchar_csp,Technology costs / performance,CSP cost and performance characteristics (inputs\plant_characteristics\{plantchar_csp}.csv). The options for plantchar_csp start with 'csp_' and the switch should be set to the entire file name (ex: csp_ATB_2024_advanced),csp_ATB_(2023|2024)_(conservative|moderate|advanced),csp_ATB_2024_moderate,
plantchar_fuelcell,Technology costs / performance,Fuel cell cost and performance characteristics (inputs\plant_characteristics\{plantchar_fuelcell}.csv). The options for plantchar_fuelcell start with 'fuelcell_' and the switch should be set to the entire file name (ex: fuelcell_ATB_2024_advanced),fuelcell_ATB_2024_(moderate|advanced),fuelcell_ATB_2024_moderate,
plantchar_gas_ccs,Technology costs / performance,Natural gas CCS generator cost and performance characteristics (inputs\plant_characteristics\{plantchar_gas_ccs}.csv). Options start with 'gas-ccs' and the switch should be set to the entire file name (ex: gas-ccs_ATB_2024_moderate),gas-ccs_ATB_(2024)_(conservative|moderate|advanced),gas-ccs_ATB_2024_moderate,
plantchar_gas,Technology costs / performance,Natural gas generator cost and performance characteristics (inputs\plant_characteristics\{plantchar_gas}.csv). Options start with 'gas_' and the switch should be set to the entire file name (ex: gas_ATB_2024_moderate),gas_ATB_(2024)_(moderate),gas_ATB_2024_moderate,
plantchar_geo,Technology costs / performance,Geothermal cost setting (inputs\plant_characteristics\{plantchar_geo}.csv).The options for plantchar_geo start with 'geo_' and the switch should be set to the entire file name (ex: geo_ATB_2023_conservative),geo_ATB_(2023|2024)_(conservative|moderate|advanced),geo_ATB_2024_moderate,
plantchar_h2combustion,Technology costs / performance,H2-CT/CC cost and performance inputs (inputs/plant_characteristics/{h2combustionscen}.csv). The options for h2combustionscen start with 'h2-combustion_' and the switch should be set to the entire file name (ex: h2-combustion_ATB_2023),h2-combustion_ATB_(2024),h2-combustion_ATB_2024,
plantchar_hydro,Technology costs / performance,Hydropower cost inputs (inputs/plant_characteristics/{plantchar_hydro}.csv). The options for plantchar_hydro start with 'hydro_' and the switch should be set to the entire file name (ex: hydro_ATB_2019_low),hydro_ATB_2019_(constant|mid|low),hydro_ATB_2019_mid,
plantchar_nuclear_smr,Technology costs / performance,Small modular reactor (SMR) cost and performance characteristics (inputs\plant_characteristics\{plantchar_nuclear_smr}.csv). Options start with 'nuclear_smr' and the switch should be set to the entire file name (ex: nuclear-smr_ATB_2024_moderate),nuclear-smr_ATB_(2024)_(conservative|moderate|advanced),nuclear-smr_ATB_2024_moderate,
plantchar_nuclear,Technology costs / performance,Large nuclear cost and performance characteristics (inputs\plant_characteristics\{plantchar_nuclear}.csv). Options start with 'nuclear_' and the switch should be set to the entire file name (ex: nuclear_ATB_2024_moderate),nuclear_ATB_(2024)_(conservative|moderate|advanced),nuclear_ATB_2024_moderate,
plantchar_ofswind,Technology costs / performance,Offshore wind cost and performance inputs (inputs/plant_characteristics/{plantchar_ofswind}.csv). The options for plantchar_ofswind start with 'ofs-wind_' and the switch should be set to the entire file name (ex: ofs-wind_ATB_2023_advanced),ofs-wind_ATB_(2023|2024)_(conservative|moderate|advanced|moderate_noFloating),ofs-wind_ATB_2024_moderate,
plantchar_onswind,Technology costs / performance,Onshore wind cost and performance inputs (inputs/plant_characteristics/{plantchar_onswind}.csv). The options for plantchar_onswind start with 'ons-wind_' and the switch should be set to the entire file name (ex: ons-wind_ATB_2023_advanced).,ons-wind_ATB_(2023|2024)_(conservative|moderate|advanced),ons-wind_ATB_2024_moderate,
plantchar_other,Technology costs / performance,Cost and performance characteristics for lfill-gas and o-g-s (inputs\plant_characteristics\{plantchar_other}.csv). Options start with 'other_' and the switch should be set to the entire file name (ex: other_plantchar)',other_plantchar,other_plantchar,
plantchar_upv,Technology costs / performance,UPV cost and performance inputs (inputs/plant_characteristics/{plantchar_upv}.csv). The options for plantchar_upv start with 'upv_' and the switch should be set to the entire file name (ex: upv_ATB_2023_advanced).,upv_ATB_(2023|2024)_(conservative|moderate|advanced),upv_ATB_2024_moderate,
ccsflexscen,Hydrogen / DAC / CO2 management,"Flexible CCS scenario (inputs\plant_characteristics\{ccsflexscen}_cost/perf.csv).The options for ccsflexscen start with 'ccsflex_' and the switch should be set to the file name, dropping '_cost' or '_perf' (ex: ccsflex_ATB_2020)",ccsflex_ATB_2020,ccsflex_ATB_2020,
ccs_upgrade_cost_case,Hydrogen / DAC / CO2 management,case in upgrade_cost_ccs_coal and upgrade_cost_ccs_gas to use for ccs retrofit costs,atb22_1p2_moderate; atb22_1p2_advanced,atb22_1p2_moderate,
coalscen,Fuel / commodity prices,"Coal price scenario (inputs\fuelprices\{coalscen}.csv). The options for coalscen start with 'coal_' and the switch should be set to the file name, dropping  'coal' (ex: AEO_2025_reference)",AEO_(2023|2025)_reference,AEO_2025_reference,
demandscen,Demand / load / flexibility,Demand scenario (see inputs\load),N/A,AEO_2025_reference,
dr_shedscen,Demand / load / flexibility,DR shed scenario,demo_data_January_2025,demo_data_January_2025,
evmcscen,Demand / load / flexibility,EVMC scenario for load and supply curve and flexibility,Baseline,Baseline,
geodiscov,Renewable resource / siting,Annual discover rates for new geothermal sites,BAU; TI,BAU,
geohydrosupplycurve,Renewable resource / siting,Geohydro Supply Curve,ATB_2023,ATB_2023,
egssupplycurve,Renewable resource / siting,EGS Supply Curve,ATB_2023; reV,reV,
egsnearfieldsupplycurve,Renewable resource / siting,EGS (near field) Supply Curve,ATB_2023,ATB_2023,
ngscen,Fuel / commodity prices,Natural gas price inputs (see inputs\fuelprices),N/A,AEO_2025_reference,
pshsupplycurve,Storage / hybrid resources,PSH Supply Curve,(8|10|12)hr_(ref|wEphemeral|wExist|wEph|wExist_wEph)_(apr2025|mar2024),12hr_ref_apr2025,
pvbscen,Storage / hybrid resources,PVB cost-sharing scenario,benchmark2020,benchmark2020,
dacscen,Hydrogen / DAC / CO2 management,Electrical DAC cost and performance inputs (see inputs/consume/[dacscen].csv starting with 'dac_elec_').,BVRE_2021_(high|mid|low),BVRE_2021_mid,
h2combustionfuelscen,Hydrogen / DAC / CO2 management,H2-CT/CC Fuel Price Scenarios (only used if endogenous H2 production is turned off),10; reference; 30,reference,
upgradescen,Retirement / refurbishment / upgrades,Exogenous upgrade capital cost specification (see inputs\upgrades). 'default' calculates cost using diff between from- and to- tech,N/A,default,
retscen,Retirement / refurbishment / upgrades,Retirement Scenario,Nuke60RetireYear; Nuke80RetireYear; NukeEarlyRetireYear; NukeRefRetireYear,Nuke80RetireYear,
supplycurve,Renewable resource / siting,Wind and Solar Supply Curves,default; 0; naris; 2018,default,
uraniumscen,Fuel / commodity prices,Uranium price scenario,AEO_(2023|2025)_reference,AEO_2025_reference,
GSw_Region,Spatial scope / aggregation,Specify column from inputs/userinput/modeled_regions.csv or from {column of hierarchy.csv}/{period-delimited entries to keep from that column},N/A,country/USA,
GSw_ZoneSet,Spatial scope / aggregation,Set of geospatial zones to use as balancing areas (described in inputs/zones/README.md),^(z48|z54|z69|z132|z134|z3109|UTcounty|PJMcounty)$,z132,
capcredit_hierarchy_level,Resource adequacy / PRM / PRAS,Select level at which to aggregate net load for capacity-credit calculation,r; nercr; transreg; transgrp; cendiv; st; interconnect; country; usda_region,transreg,
construction_schedules_suffix,Technology costs / performance,File suffix for construction schedules,default,default,
construction_times_suffix,Technology costs / performance,File suffix for construction times by technology,default,default,
degrade_suffix,Technology costs / performance,File suffix for annual degredation by technology,default,default,
depreciation_schedules_suffix,Financials / incentives,File suffix for depreciation schedules,default,default,
financials_sys_suffix,Financials / incentives,File suffix for the system-wide system discount rate,ATB(2023|2024),ATB2024,
financials_tech_suffix,Financials / incentives,File suffix for technology-specific financial assumptions (see inputs\financials_tech),ATB(2023|2023_CRP20|2024),ATB2024,
financials_trans_suffix,Financials / incentives,File suffix for transmission financial assumptions,default; 30ITC_0pen_2022_2031,default,
incentives_suffix,Financials / incentives,File suffix for incentive definition,ira; obbba; obbba_conservative; annual; biennial; ira_45q_45v_extension; none,obbba,
inflation_suffix,Financials / incentives,File suffix for historical inflation schedule,default,default,
ivt_suffix,Financials / incentives,File suffix for ivt csv file,default; small; step,default,
reg_cap_cost_diff_suffix,Technology costs / performance,File suffix for regional capital cost differences,default,default,
techs_suffix,Technology availability / representation,File suffix for master list of technologies,default; subsetForTesting,default,
dollar_year,Financials / incentives,DO NOT CHANGE FROM 2004 UNTIL ALL FINANCIAL INPUTS HAVE DOLLAR YEAR ADJUSTMENT - Real dollar year for model to calculate and report,2004,2004,
sys_eval_years,Temporal / solve structure,Number of years that the model evaluates investments on,int,30,
numhintage,Retirement / refurbishment / upgrades,"number of hintage bins. Enter 'unit' for unit level bins. Enter 'group' to group by unique technology, region, and heatrate combinations",int,6,
numbins_windons,Renewable resource / siting,Number of interconnection supply curve bins for onshore wind; options are 5 and 1300 (for individual sites lite),int,10,
numbins_windofs,Renewable resource / siting,Number of interconnection supply curve bins for offshore wind; options are 5 and 1300 (for individual sites lite),int,5,
numbins_upv,Renewable resource / siting,Number of interconnection supply curve bins for upv; options are 20 and 1300 (for individual sites lite),int,40,
numbins_csp,Renewable resource / siting,Number of interconnection supply curve bins for csp,int,5,
numbins_geohydro_allkm,Renewable resource / siting,Number of interconnection supply curve bins for hydrothermal geothermal,int,10,
numbins_egs_allkm,Renewable resource / siting,Number of interconnection supply curve bins for deep enhanced geothermal,int,10,
mindev,Retirement / refurbishment / upgrades,minimum deviation for a hintage to qualify for a new bin,int,50,
unitdata,Retirement / refurbishment / upgrades,"Unit Database: ""EIA-NEMS"" for NEMS",EIA-NEMS,EIA-NEMS,
marg_vre_mw,Resource adequacy / PRM / PRAS,MW for marginal VRE curt/cc calcs,N/A,1000,
marg_stor_mw,Resource adequacy / PRM / PRAS,MW for marginal storage capacity credit,N/A,100,
marg_evmc_mw,Resource adequacy / PRM / PRAS,MW for marginal electric vehicle managed charging (EVMC) capacity credit,N/A,100,
GSw_AnnualCap,Policy / emissions constraints,CO2/CO2e emission cap. Turn off cap (0) or turn on CO2 only cap (1) or turn on CO2e cap (2) or include H2 leakage in CO2e cap (3) ,0; 1; 2; 3,0,
GSw_AnnualCapScen,Policy / emissions constraints,Scenario for CO2 cap pathway (see inputs\emission_constraints\co2_cap.csv),N/A,default,
GSw_AVG_iter,Resource adequacy / PRM / PRAS,Select method for choosing which iterations are used for CC/curt calculations,0; 1,1,
GSw_BankBorrowCap,Policy / emissions constraints,Turn on/off CO2 cap with banking and borrowing,0; 1,0,
GSw_BatteryMandate,Policy / emissions constraints,Turn on/off battery mandate constraint,0; 1,1,
GSw_BECCS,Hydrogen / DAC / CO2 management,Turn on/off BECCS technology,0; 1,1,
GSw_BinOM,Technology costs / performance,Turn on/off binned FOM and VOM for each historical binned vintage,0; 1,1,
GSw_Biopower,Technology availability / representation,Turn on/off biopower,0; 1,1,
GSw_BioSupply,Fuel / commodity prices,Multiplier to adjust total biomass supply,N/A,1,
GSw_BioTransportCost,Fuel / commodity prices,Biomass collection and transport costs ($2004 per dry ton),N/A,22,
GSw_calc_powfrac,Report calculations - Pipeline toggle,Switch to compute powfrac in e_report and e_powfrac_calc - dramatically reduces calculation times with hourly resolution,0; 1,0,
GSw_Canada,Technology availability / representation,"Turn canada off [0], or use flexible (dispatchable-hydro-like) representation [1]",0; 1,1,
GSw_CarbTax,Policy / emissions constraints,Turn on/off CO2 tax,0; 1,0,
GSw_CarbTaxOption,Policy / emissions constraints,Choose the co2_tax input csv file (see inputs\emission_constraints),,default,
GSw_CCS,Hydrogen / DAC / CO2 management,Turn on/off all inflexible CCS,0; 1,1,
GSw_CCS_NotRecTech,Policy / emissions constraints,Turn on/off removal of CCS techs from CES eligibility,0; 1,0,
GSw_CCS_Rate_New_mod,Hydrogen / DAC / CO2 management,fractional CO2 capture rate of new CCS_mod capacity,float,0.95,
GSw_CCS_Rate_New_max,Hydrogen / DAC / CO2 management,fractional CO2 capture rate of new CCS_max capacity,float,0.99,
GSw_CCS_Rate_Upgrade_mod,Hydrogen / DAC / CO2 management,fractional CO2 capture rate of retrofit CCS_mod capacity,float,0.9,
GSw_CCS_Rate_Upgrade_max,Hydrogen / DAC / CO2 management,fractional CO2 capture rate of retrofit CCS_max capacity,float,0.99,
GSw_CCSFLEX_BYP,Hydrogen / DAC / CO2 management,Turn on/off all Flexible CCS with Bypass,0; 1,0,
GSw_CCSFLEX_cap_max,Hydrogen / DAC / CO2 management,CCS maximum capture,float,90,
GSw_CCSFLEX_cost_mult,Hydrogen / DAC / CO2 management,CCS capital cost multiplier,float,1,
GSw_CCSFLEX_DAC,Hydrogen / DAC / CO2 management,Turn on/off all Flexible CCS with Direct Air Capture,0; 1,0,
GSw_CCSFLEX_STO,Hydrogen / DAC / CO2 management,Turn on/off all Flexible CCS with Storage,0; 1,0,
GSw_CCSFLEX_STO_LEVEL,Hydrogen / DAC / CO2 management,Turn on/off explicit tracking of flexible CCS storge level (1=explicit; 0=implicit),0; 1,1,
GSw_CCS_NoRetire,Hydrogen / DAC / CO2 management,Switch to prevent coal and gas from turning off CCS equipment after upgrading. 0 = can turn CCS equipment off. 1 = must keep CCS equipment on.,0; 1,0,
GSw_CheckInputs,Input validation - Pipeline toggle,Switch to turn on/off inputs checking,0; 1,1,
climateloc,Water / climate impacts,Directory for climate scenarios (change to qnap/CIRA_Inputs_R2 to use scenarios not included in inputs/climate),N/A,inputs/climate,
climatescen,Water / climate impacts,Climate scenario for climate impacts,HadGEM2-ES_rcp45_AT; HadGEM2-ES_rcp85_AT; HadGEM2-ES_RCP2p6; HadGEM2-ES_RCP4p5; HadGEM2-ES_RCP8p5; GFDL-ESM2M_RCP4p5_WM; IPSL-CM5A-LR_RCP8p5_WM,HadGEM2-ES_rcp45_AT,
GSw_Clean_Air_Act,Policy / emissions constraints,"Turn on/off the provisions under the Clean Air Act, Section 111, which regulate the emissions from existing coal plants and new gas plants.",0; 1,1,
GSw_ClimateHeuristics,Water / climate impacts,Select scenario for a variety of climate heuristics,none; 2025_2050_linear,none,
GSw_ClimateHydro,Water / climate impacts,Turn on/off climate impacts on hydropower,0; 1,0,
GSw_ClimateStartYear,Water / climate impacts,Year in which to start applying climate impacts,N/A,2022,
GSw_ClimateWater,Water / climate impacts,Turn on/off climate impacts on cooling water,0; 1,0,
GSw_CO2_Storage,Hydrogen / DAC / CO2 management,"Include costs from CO2 transport and storage. 0 includes no costs, positive values applied as $ per metric ton to captured CO2. Enter in $2004. Suggested range of values based on NETL 2019 report : 11 (base), 7 (low), 26 (high)",N/A,11,
GSw_CO2_pipeline_cost,Hydrogen / DAC / CO2 management,Set capex cost for CO2 Pipeline. 2004$/(tonne-mi)/hr. Suggested value: 2257,N/A,2257,
GSw_CO2_pipeline_fom,Hydrogen / DAC / CO2 management,Set FOM cost for CO2 Pipeline. 2004$/(tonne-mi)/hr-yr. Suggested value: 60,N/A,60,
GSw_CO2_spurline_cost,Hydrogen / DAC / CO2 management,Set capex cost for CO2 Spurline. 2004$/(tonne-mi)/hr. Suggested value: 2257,N/A,2257,
GSw_CO2_spurline_fom,Hydrogen / DAC / CO2 management,Set FOM cost for CO2 Spurline. 2004$/(tonne-mi)/hr-yr. Suggested value: 60,N/A,60,
GSw_CO2_Detail,Hydrogen / DAC / CO2 management,Switch to enable detailed representation CO2 transportation and storage,0; 1,0,
GSw_CO2_CostAdj,Hydrogen / DAC / CO2 management,multiplier for co2 infrastructure when Sw_CO2_Detail = 1,float,1,
GSw_CO2_BEC,Hydrogen / DAC / CO2 management,"Break even cost capacity factor assignment. Must be a suffix to ""bec_"" in the columns of co2_site_char.csv",N/A,70,
GSw_CoalIGCC,Technology availability / representation,Turn on/off COAL IGCC,0; 1,1,
GSw_CoalNew,Technology availability / representation,Turn on/off coal new,0; 1,1,
GSw_CofireNew,Technology availability / representation,Turn on/off cofire-new,0; 1,0,
GSw_CoolingTechMults,Water / climate impacts,Turn on/off to enable cooling tech cost/performance multipliers,0; 1,1,
GSw_CSAPR,Policy / emissions constraints,Turn on/off the CSAPR emissions regulation,0; 1,1,
GSw_CSP,Technology availability / representation,Turn on/off CSP [0=no CSP; 1=1 CSP tech; 2=2 CSP techs],0,0,
GSw_CSPRemoveLow,Renewable resource / siting, Remove the lowest quality CSP resource [0=do not remove; 1=remove],0; 1,1,
GSw_CSP_Types,Technology availability / representation,'_'-delimited CSP types to include (i.e. 1 or 1_2 or 1_2_3),(1|1_2|1_2_3),1,
GSw_CurtMarket,Model formulation / numerical controls,Price paid (in 2004$/MWh) for curtailed VRE,N/A,0,
GSw_DAC,Hydrogen / DAC / CO2 management,"Turn on or off the representation of direct air capture [0 = off, 1 = on with projection specified by dacscen]",0; 1,0,
GSw_DAC_Gas,Hydrogen / DAC / CO2 management,"Turn on or off the representation of gas fueled direct air capture [0 = off, 1 = projection specified with GSw_DAC_Gas_Case]",0; 1,0,
GSw_DAC_Gas_Case,Hydrogen / DAC / CO2 management,DAC gas parameterization case (See inputs/consume/dac_gas_[GSw_DAC_Gas_Case].csv),BVRE_2021_(high|mid|low),BVRE_2021_mid,
GSw_distpv,Demand / load / flexibility,Turn on/off distpv,0;1,1,
GSw_DRShed,Demand / load / flexibility, switch to turn on/off demand response shed resource,0;1,0,
GSw_EFS_Flex,Demand / load / flexibility,Switch for turning EFS load flexibility on or off,0,0,
GSw_EFS2_FlexCase,Demand / load / flexibility,"Case used for electrification flex_type - format is {1}_{2}, where 1 in [EFS_REFERENCE, EFS_MEDIUM, EFS_HIGH, EFS_Clean2035] and 2 in [Baseflex, Currentflex, Enhancedflex, Uberflex1, Uberflex2]",N/A,EFS_MEDIUM_EnhancedflexStretch2046,
GSw_EVMC,Demand / load / flexibility,Turn on adoptable EV managed charging,0; 1,0,
GSw_FakeData,Test data shortcut - Pipeline toggle,Use fake capacity factor profiles (for TESTING ONLY when you do not want to download the real CF data),^[0-1]$,0,
